,F12\WORD1.DOC
W 86,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 87,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 88,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 89,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 90,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 91,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 92,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 93,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 94,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 95,CONFIGURATION OF SCM2222 CARD MODBUS SR0
W 96,
W 97,TRANSFER RECEIVE CODE FOR 40H READING
W 98,
W 99,
W 100,"READ SCM2222, COPY FROM W110"
W 101,
W 102,
W 103,
W 104,INDEX FOR MODBUS IN SR0
W 105,
W 106,WORD FOR READ CODE
W 107,WORD FOR READ CODE
W 108,WORD FOR READ CODE
W 109,WORD FOR READ CODE
W 110,WORD FOR READ CODE
W 111,WORD FOR READ CODE
W 112,WORD FOR READ CODE
W 113,WORD FOR READ CODE
W 114,WORD FOR READ CODE
W 115,WORD FOR READ CODE
W 116,WORD FOR READ CODE
W 117,WORD FOR READ CODE
W 118,WORD FOR READ CODE
W 119,WORD FOR READ CODE
W 120,WORD FOR READ CODE
W 121,WORD FOR READ CODE
W 122,WORD FOR READ CODE
W 123,WORD FOR READ CODE
W 124,WORD FOR READ CODE
W 125,WORD FOR READ CODE
W 126,WORD FOR READ CODE
W 127,WORD FOR READ CODE
W 128,WORD FOR READ CODE
W 129,WORD FOR READ CODE
W 130,WORD FOR READ CODE
W 131,WORD FOR READ CODE
W 132,WORD FOR READ CODE
W 133,WORD FOR READ CODE
W 134,WORD FOR READ CODE
W 135,WORD FOR READ CODE
W 136,WORD FOR READ CODE
W 137,WORD FOR READ CODE
W 138,WORD FOR READ CODE
W 139,WORD FOR READ CODE
W 140,WORD FOR READ CODE
W 141,WORD FOR READ CODE
W 142,WORD FOR READ CODE
W 143,WORD FOR READ CODE
W 144,WORD FOR READ CODE
W 145,WORD FOR READ CODE
W 146,WORD FOR READ CODE
W 147,WORD FOR READ CODE
W 148,WORD FOR READ CODE
W 149,WORD FOR READ CODE
W 150,WORD FOR READ CODE
W 151,WORD FOR READ CODE
W 152,WORD FOR READ CODE
W 153,WORD FOR READ CODE
W 154,WORD FOR READ CODE
W 155,WORD FOR READ CODE
W 156,WORD FOR READ CODE
W 157,WORD FOR READ CODE
W 158,WORD FOR READ CODE
W 159,WORD FOR READ CODE
W 160,WORD FOR READ CODE
W 161,WORD FOR READ CODE
W 162,WORD FOR READ CODE
W 163,WORD FOR READ CODE
W 164,WORD FOR READ CODE
W 165,WORD FOR READ CODE
W 166,WORD FOR READ CODE
W 167,WORD FOR READ CODE
W 168,WORD FOR READ CODE
W 169,WORD FOR READ CODE
W 170,WORD FOR READ CODE
W 171,WORD FOR READ CODE
W 172,WORD FOR READ CODE
W 173,WORD FOR READ CODE
W 174,WORD FOR READ CODE
W 175,WORD FOR READ CODE
W 176,WORD FOR READ CODE
W 177,WORD FOR READ CODE
W 178,WORD FOR READ CODE
W 179,WORD FOR READ CODE
W 180,WORD FOR READ CODE
W 181,WORD FOR READ CODE
W 182,WORD FOR READ CODE
W 183,WORD FOR READ CODE
W 184,WORD FOR READ CODE
W 185,WORD FOR READ CODE
W 186,WORD FOR READ CODE
W 187,WORD FOR READ CODE
W 188,WORD FOR READ CODE
W 189,WORD FOR READ CODE
W 190,WORD FOR READ CODE
W 191,WORD FOR READ CODE
W 192,WORD FOR READ CODE
W 193,WORD FOR READ CODE
W 194,WORD FOR READ CODE
W 195,WORD FOR READ CODE
W 196,WORD FOR READ CODE
W 197,WORD FOR READ CODE
W 198,WORD FOR READ CODE
W 199,WORD FOR READ CODE
W 200,WORD FOR READ CODE
W 201,WORD FOR READ CODE
W 202,WORD FOR READ CODE
W 203,WORD FOR READ CODE
W 204,WORD FOR READ CODE
W 205,WORD FOR READ CODE
W 206,WORD FOR READ CODE
W 207,WORD FOR READ CODE
W 208,WORD FOR READ CODE
W 209,WORD FOR READ CODE
W 210,WORD FOR READ CODE
W 211,WORD FOR READ CODE
W 212,WORD FOR READ CODE
W 213,WORD FOR READ CODE
W 214,WORD FOR READ CODE
W 215,WORD FOR READ CODE
W 216,WORD FOR READ CODE
W 217,WORD FOR READ CODE
W 218,WORD FOR READ CODE
W 219,WORD FOR READ CODE
W 220,WORD FOR READ CODE
W 221,WORD FOR READ CODE
W 222,WORD FOR READ CODE
W 223,WORD FOR READ CODE
W 224,WORD FOR READ CODE
W 225,WORD FOR READ CODE
W 226,WORD FOR READ CODE
W 227,WORD FOR READ CODE
W 228,WORD FOR READ CODE
W 229,WORD FOR READ CODE
W 230,WORD FOR READ CODE
W 231,WORD FOR READ CODE
W 232,WORD FOR READ CODE
W 233,WORD FOR READ CODE
W 234,WORD FOR READ CODE
W 235,WORD FOR READ CODE
W 236,WORD FOR READ CODE
W 237,WORD FOR READ CODE
W 238,WORD FOR READ CODE
W 239,WORD FOR READ CODE
W 240,WORD FOR READ CODE
W 241,WORD FOR READ CODE
W 242,WORD FOR READ CODE
W 243,WORD FOR READ CODE
W 244,WORD FOR READ CODE
W 245,WORD FOR READ CODE
W 246,WORD FOR READ CODE
W 247,WORD FOR READ CODE
W 248,WORD FOR READ CODE
W 249,WORD FOR READ CODE
W 250,WORD FOR READ CODE
W 251,WORD FOR READ CODE
W 252,WORD FOR READ CODE
W 253,WORD FOR READ CODE
W 254,WORD FOR READ CODE
W 255,WORD FOR READ CODE
W 256,WORD FOR READ CODE
W 257,WORD FOR READ CODE
W 258,WORD FOR READ CODE
W 259,WORD FOR READ CODE
W 260,WORD FOR READ CODE
W 261,WORD FOR READ CODE
W 262,WORD FOR READ CODE
W 263,WORD FOR READ CODE
W 264,WORD FOR READ CODE
W 265,WORD FOR READ CODE
W 266,WORD FOR READ CODE
W 267,WORD FOR READ CODE
W 268,WORD FOR READ CODE
W 269,WORD FOR READ CODE
W 270,WORD FOR READ CODE
W 271,WORD FOR READ CODE
W 272,WORD FOR READ CODE
W 273,WORD FOR READ CODE
W 274,WORD FOR READ CODE
W 275,WORD FOR READ CODE
W 276,WORD FOR READ CODE
W 277,WORD FOR READ CODE
W 278,WORD FOR READ CODE
W 279,WORD FOR READ CODE
W 280,WORD FOR READ CODE
W 281,WORD FOR READ CODE
W 282,WORD FOR READ CODE
W 283,WORD FOR READ CODE
W 284,WORD FOR READ CODE
W 285,WORD FOR READ CODE
W 286,WORD FOR READ CODE
W 287,WORD FOR READ CODE
W 288,WORD FOR READ CODE
W 289,WORD FOR READ CODE
W 290,WORD FOR READ CODE
W 291,WORD FOR READ CODE
W 292,WORD FOR READ CODE
W 293,WORD FOR READ CODE
W 294,WORD FOR READ CODE
W 295,WORD FOR READ CODE
W 296,WORD FOR READ CODE
W 297,WORD FOR READ CODE
W 298,WORD FOR READ CODE
W 299,WORD FOR READ CODE
W 300,WORD FOR READ CODE
W 301,WORD FOR READ CODE
W 302,WORD FOR READ CODE
W 303,WORD FOR READ CODE
W 304,WORD FOR READ CODE
W 305,WORD FOR READ CODE
W 306,WORD FOR READ CODE
W 307,WORD FOR READ CODE
W 308,WORD FOR READ CODE
W 309,WORD FOR READ CODE
,
W 400,"COUNTER FOR INDEX USED IN AUX0,SR0"
W 401,"COUNTER FOR INDEX USED IN AUX0,SR0"
W 402,COUNTER FOR MODBUS
W 403,
W 404,
W 405,
W 406,
W 407,
W 408,
W 409,
W 410,
W 411,
W 412,
W 413,
W 414,
W 415,
W 416,
W 417,
W 418,
W 419,
W 420,"SEE ""WORD BIT"""
W 421,"SEE ""WORD BIT"""
W 422,"SEE ""WORD BIT"""
W 423,"SEE ""WORD BIT"""
W 424,
W 425,MASK 'OOOO OOOO 1111 1111'
W 426,
W 427,
W 428,
W 429,
W 430,"R300, R301"
W 431,"R300, R301"
W 432,"R302, R303"
W 433,"R302, R303"
W 434,"R304, R305"
W 435,"R304, R305"
W 436,"R306, R307"
W 437,"R306, R307"
W 438,"R308, R309"
W 439,"R308, R309"
W 440,"R310, R311"
W 441,"R310, R311"
W 442,"R312, R313"
W 443,"R312, R313"
W 444,"R314, R315"
W 445,"R314, R315"
W 446,"R316, R317"
W 447,"R316, R317"
W 448,"R318, R319"
W 449,"R318, R319"
W 450,"R320, R321"
W 451,"R320, R321"
W 452,"R322, R323"
W 453,"R322, R323"
W 454,"R324, R325"
W 455,"R324, R325"
W 456,"R326, R327"
W 457,"R326, R327"
W 458,"R330, R331"
W 459,"R330, R331"
W 460,"R332, R333"
W 461,"R332, R333"
W 462,"R340, R341"
W 463,"R340, R341"
W 464,"R342, R343"
W 465,"R342, R343"
W 466,"R344, R345"
W 467,"R344, R345"
W 468,"R346, R347"
W 469,"R346, R347"
W 470,"R348, R349"
W 471,"R348, R349"
W 472,"R350, R351"
W 473,"R350, R351"
W 474,"R352, R353"
W 475,"R352, R353"
W 476,"R354, R355"
W 477,"R354, R355"
W 478,"R356, R357"
W 479,"R356, R357"
W 480,"R358, R359"
W 481,"R358, R359"
W 482,"R360, R361"
W 483,"R360, R361"
W 484,
W 485,
W 486,
W 487,
W 488,
W 489,
W 490,
W 491,
W 492,
W 493,
W 494,
W 495,
W 496,
W 497,
W 498,
W 499,
W 500,"SEE ""WORD BIT"""
W 501,"SEE ""WORD BIT"""
W 502,"SEE ""WORD BIT"""
W 503,"SEE ""WORD BIT"""
W 504,"SEE ""WORD BIT"""
W 505,"SEE ""WORD BIT"""
W 506,"SEE ""WORD BIT"""
W 507,"SEE ""WORD BIT"""
W 508,"SEE ""WORD BIT"""
W 509,"SEE ""WORD BIT"""
W 510,"SEE ""WORD BIT"""
W 511,"SEE ""WORD BIT"""
W 512,"SEE ""WORD BIT"""
W 513,"SEE ""WORD BIT"""
W 514,"SEE ""WORD BIT"""
W 515,"SEE ""WORD BIT"""
W 516,"SEE ""WORD BIT"""
W 517,"SEE ""WORD BIT"""
W 518,"SEE ""WORD BIT"""
W 519,"SEE ""WORD BIT"""
W 520,"SEE ""WORD BIT"""
W 521,"SEE ""WORD BIT"""
W 522,"SEE ""WORD BIT"""
W 523,"SEE ""WORD BIT"""
W 524,"SEE ""WORD BIT"""
W 525,"SEE ""WORD BIT"""
W 526,"SEE ""WORD BIT"""
W 527,"SEE ""WORD BIT"""
W 528,"SEE ""WORD BIT"""
W 529,"SEE ""WORD BIT"""
W 530,"SEE ""WORD BIT"""
W 531,"SEE ""WORD BIT"""
W 532,"SEE ""WORD BIT"""
W 533,"SEE ""WORD BIT"""
W 534,"SEE ""WORD BIT"""
W 535,"SEE ""WORD BIT"""
W 536,"SEE ""WORD BIT"""
W 537,"SEE ""WORD BIT"""
W 538,"SEE ""WORD BIT"""
W 539,"SEE ""WORD BIT"""
W 540,
W 541,
W 542,
W 543,
W 544,
W 545,
W 546,
W 547,
W 548,
W 549,
W 550,COUNTER FOR SATELLITE EXTRUDER1 HEATER E100
W 551,COUNTER FOR SATELLITE EXTRUDER1 HEATER E101
W 552,COUNTER FOR SATELLITE EXTRUDER1 HEATER E102
W 553,COUNTER FOR SATELLITE EXTRUDER1 HEATER E103
W 554,COUNTER FOR SATELLITE EXTRUDER1 HEATER E104
W 555,COUNTER FOR SATELLITE EXTRUDER1 HEATER E105
W 556,COUNTER FOR SATELLITE EXTRUDER1 HEATER E106
W 557,COUNTER FOR SATELLITE EXTRUDER1 HEATER E107
W 558,COUNTER FOR SATELLITE EXTRUDER1 HEATER E108
W 559,COUNTER FOR SATELLITE EXTRUDER1 HEATER E110
W 560,COUNTER FOR SATELLITE EXTRUDER1 HEATER E111
W 561,COUNTER FOR SATELLITE EXTRUDER1 HEATER E112
W 562,COUNTER FOR SATELLITE EXTRUDER1 HEATER E113
W 563,COUNTER FOR SATELLITE EXTRUDER1 HEATER E114
W 564,COUNTER FOR SATELLITE EXTRUDER1 HEATER E115
W 565,COUNTER FOR SATELLITE EXTRUDER1 HEATER E116
W 566,COUNTER FOR SATELLITE EXTRUDER1 HEATER E117
W 567,COUNTER FOR SATELLITE EXTRUDER1 HEATER E118
W 568,COUNTER FOR SATELLITE EXTRUDER1 HEATER E120
W 569,COUNTER FOR SATELLITE EXTRUDER1 HEATER E121
W 570,COUNTER FOR SATELLITE EXTRUDER1 HEATER E122
W 571,COUNTER FOR SATELLITE EXTRUDER1 HEATER E123
W 572,COUNTER FOR SATELLITE EXTRUDER1 HEATER E124
W 573,COUNTER FOR SATELLITE EXTRUDER1 HEATER E125
W 574,COUNTER FOR SATELLITE EXTRUDER1 HEATER E126
W 575,COUNTER FOR SATELLITE EXTRUDER1 HEATER E127
W 576,COUNTER FOR SATELLITE EXTRUDER1 HEATER E128
W 577,COUNTER FOR PRI. EXTRUDER MELT LINE ZONE 1 E130
W 578,COUNTER FOR PRI. EXTRUDER MELT LINE ZONE 2 E131
W 579,COUNTER FOR PRI. EXTRUDER MELT LINE ZONE 3 E132
W 580,COUNTER FOR PRI. EXTRUDER MELT LINE ZONE 4 E133
W 581,COUNTER FOR MAIN EXTRUDER2 HEATER E140
W 582,COUNTER FOR MAIN EXTRUDER2 HEATER E141
W 583,COUNTER FOR MAIN EXTRUDER2 HEATER E142
W 584,COUNTER FOR MAIN EXTRUDER2 HEATER E143
W 585,COUNTER FOR MAIN EXTRUDER2 HEATER E144
W 586,COUNTER FOR MAIN EXTRUDER2 HEATER E145
W 587,COUNTER FOR MAIN EXTRUDER2 HEATER E146
W 588,COUNTER FOR MAIN EXTRUDER2 HEATER E147
W 589,COUNTER FOR MAIN EXTRUDER2 PUMP E148
W 590,COUNTER FOR MELTLINE FILTER HEATER E149
W 591,COUNTER FOR MELTLINE FILTER HEATER E150
W 592,COUNTER FOR MELTLINE FILTER HEATER E151
W 593,COUNTER FOR MELTLINE FILTER HEATER E152
W 594,COUNTER FOR MELTLINE FILTER HEATER E156
W 595,COUNTER FOR MELTLINE FILTER HEATER E153
W 596,COUNTER FOR MELTLINE FILTER HEATER E155
W 597,COUNTER FOR MELTLINE FILTER HEATER E157
W 598,COUNTER FOR MELTLINE FILTER HEATER E158
W 599,COUNTER FOR MELTLINE FILTER HEATER E159
W 600,COUNTER SATELLITE EXTRUDER1 HYDRAULIC PUMP
W 601,COUNTER SATELLITE EXTRUDER1 HYDRAULIC PUMP
W 602,COUNTER MAIN EXTRUDER1 HYDRAULIC PUMP
W 603,COUNTER MAIN EXTRUDER1 HYDRAULIC PUMP
W 604,
W 605,
W 606,
W 607,COUNTER DOSERING AND STORAGE HEATER E001
W 608,COUNTER DOSERING AND STORAGE HEATER E002
W 609,COUNTER DOSERING AND STORAGE HEATER E006
W 610,COUNTER DOSERING AND STORAGE HEATER E007
W 611,COUNTER DOSERING AND STORAGE HEATER E010
W 612,COUNTER DOSERING AND STORAGE HEATER E011
W 613,"COUNTER FOR DETECT START FAILURE, ADDITIVE PUMP, E012"
W 614,
W 615,
W 616,
W 617,
W 618,
W 619,
W 620,
W 621,
W 622,
W 623,
W 624,
W 625,COUNTER SAT EXT1 COOLING FAN ZONE1
W 626,COUNTER SAT EXT1 COOLING FAN ZONE2
W 627,COUNTER SAT EXT1 COOLING FAN ZONE3
W 628,COUNTER SAT EXT1 COOLING FAN ZONE4
W 629,COUNTER SAT EXT1 COOLING FAN ZONE5
W 630,COUNTER SAT EXT1 COOLING FAN ZONE6
W 631,COUNTER SAT EXT1 COOLING FAN ZONE7
W 632,COUNTER SAT EXT2 COOLING FAN ZONE1
W 633,COUNTER SAT EXT2 COOLING FAN ZONE3
W 634,COUNTER SAT EXT2 COOLING FAN ZONE3
W 635,COUNTER SAT EXT2 COOLING FAN ZONE4
W 636,COUNTER SAT EXT2 COOLING FAN ZONE5
W 637,COUNTER SAT EXT2 COOLING FAN ZONE6
W 638,COUNTER SAT EXT2 COOLING FAN ZONE7
W 639,
W 640,FREE
W 641,FREE
W 642,FREE
W 643,FREE
W 644,FREE
W 645,FREE
W 646,FREE
W 647,FREE
W 648,FREE
W 649,FREE
W 650,FREE
W 651,FREE
W 652,FREE
W 653,FREE
W 654,FREE
W 655,FREE
W 656,FREE
W 657,FREE
W 658,FREE
W 659,FREE
W 660,FREE
W 661,FREE
W 662,FREE
W 663,FREE
W 664,FREE
W 665,FREE
W 666,FREE
W 667,FREE
W 668,FREE
W 669,FREE
W 670,FREE
W 671,FREE
W 672,FREE
W 673,FREE
W 674,FREE
W 675,FREE
W 676,FREE
W 677,FREE
W 678,FREE
W 679,FREE
W 680,FREE
W 681,FREE
W 682,FREE
W 683,FREE
W 684,FREE
W 685,FREE
W 686,FREE
W 687,FREE
W 688,FREE
W 689,FREE
W 690,FREE
W 691,FREE
W 692,FREE
W 693,FREE
W 694,FREE
W 695,FREE
W 696,FREE
W 697,FREE
W 698,FREE
W 699,FREE
W 700,FREE
W 701,FREE
W 702,FREE
W 703,FREE
W 704,FREE
W 705,FREE
W 706,FREE
W 707,FREE
W 708,FREE
W 709,FREE
W 710,FREE
W 711,FREE
W 712,FREE
W 713,FREE
W 714,FREE
W 715,FREE
W 716,FREE
W 717,FREE
W 718,FREE
W 719,FREE
W 720,FREE
W 721,FREE
W 722,FREE
W 723,FREE
W 724,FREE
W 725,FREE
W 726,FREE
W 727,FREE
W 728,FREE
W 729,FREE
W 730,FREE
W 731,FREE
W 732,FREE
W 733,FREE
W 734,FREE
W 735,FREE
W 736,FREE
W 737,FREE
W 738,FREE
W 739,FREE
W 740,FREE
W 741,FREE
W 742,FREE
W 743,FREE
W 744,FREE
W 745,FREE
W 746,FREE
W 747,FREE
W 748,FREE
W 749,FREE
W 750,FREE
W 751,FREE
W 752,FREE
W 753,FREE
W 754,FREE
W 755,FREE
W 756,FREE
W 757,FREE
W 758,FREE
W 759,FREE
W 760,FREE
W 761,FREE
W 762,FREE
W 763,FREE
W 764,FREE
W 765,FREE
W 766,FREE
W 767,FREE
W 768,FREE
W 769,FREE
W 770,FREE
W 771,FREE
W 772,FREE
W 773,FREE
W 774,FREE
W 775,FREE
W 776,FREE
W 777,FREE
W 778,FREE
W 779,FREE
W 780,FREE
W 781,FREE
W 782,FREE
W 783,FREE
W 784,FREE
W 785,FREE
W 786,FREE
W 787,FREE
W 788,FREE
W 789,FREE
W 790,FREE
W 791,FREE
W 792,FREE
W 793,FREE
W 794,FREE
W 795,FREE
W 796,FREE
W 797,FREE
W 798,FREE
W 799,FREE
W 800,FREE
W 801,FREE
W 802,FREE
W 803,FREE
W 804,FREE
W 805,FREE
W 806,FREE
W 807,FREE
W 808,FREE
W 809,FREE
W 810,FREE
W 811,FREE
W 812,FREE
W 813,FREE
W 814,FREE
W 815,FREE
W 816,FREE
W 817,FREE
W 818,FREE
W 819,FREE
W 820,FREE
W 821,FREE
W 822,FREE
W 823,FREE
W 824,FREE
W 825,FREE
W 826,FREE
W 827,FREE
W 828,FREE
W 829,FREE
W 830,FREE
W 831,FREE
W 832,FREE
W 833,FREE
W 834,FREE
W 835,FREE
W 836,FREE
W 837,FREE
W 838,FREE
W 839,FREE
W 840,FREE
W 841,FREE
W 842,FREE
W 843,FREE
W 844,FREE
W 845,FREE
W 846,FREE
W 847,FREE
W 848,FREE
W 849,FREE
W 850,FREE
W 851,FREE
W 852,FREE
W 853,FREE
W 854,FREE
W 855,FREE
W 856,FREE
W 857,FREE
W 858,FREE
W 859,FREE
W 860,FREE
W 861,FREE
W 862,FREE
W 863,FREE
W 864,FREE
W 865,FREE
W 866,FREE
W 867,FREE
W 868,FREE
W 869,FREE
W 870,FREE
W 871,FREE
W 872,FREE
W 873,FREE
W 874,FREE
W 875,FREE
W 876,FREE
W 877,FREE
W 878,FREE
W 879,FREE
W 880,FREE
W 881,FREE
W 882,FREE
W 883,FREE
W 884,FREE
W 885,FREE
W 886,FREE
W 887,FREE
W 888,FREE
W 889,FREE
W 890,FREE
W 891,FREE
W 892,FREE
W 893,FREE
W 894,FREE
W 895,FREE
W 896,FREE
W 897,FREE
W 898,FREE
W 899,FREE
W 900,FREE
W 901,FREE
W 902,FREE
W 903,FREE
W 904,FREE
W 905,FREE
W 906,FREE
W 907,FREE
W 908,FREE
W 909,FREE
W 910,FREE
W 911,FREE
W 912,FREE
W 913,FREE
W 914,FREE
W 915,FREE
W 916,FREE
W 917,FREE
W 918,FREE
W 919,FREE
W 920,FREE
W 921,FREE
W 922,FREE
W 923,FREE
W 924,FREE
W 925,FREE
W 926,FREE
W 927,FREE
W 928,FREE
W 929,FREE
W 930,FREE
W 931,FREE
W 932,FREE
W 933,FREE
W 934,FREE
W 935,FREE
W 936,FREE
W 937,FREE
W 938,FREE
W 939,FREE
W 940,FREE
W 941,FREE
W 942,FREE
W 943,FREE
W 944,FREE
W 945,FREE
W 946,FREE
W 947,FREE
W 948,FREE
W 949,FREE
W 950,FREE
W 951,FREE
W 952,FREE
W 953,FREE
W 954,FREE
W 955,FREE
W 956,FREE
W 957,FREE
W 958,FREE
W 959,FREE
W 960,FREE
W 961,FREE
W 962,FREE
W 963,FREE
W 964,FREE
W 965,FREE
W 966,FREE
W 967,FREE
W 968,FREE
W 969,FREE
W 970,FREE
W 971,FREE
W 972,FREE
W 973,FREE
W 974,FREE
W 975,FREE
W 976,FREE
W 977,FREE
W 978,FREE
W 979,FREE
W 980,FREE
W 981,FREE
W 982,FREE
W 983,FREE
W 984,FREE
W 985,FREE
W 986,FREE
W 987,FREE
W 988,FREE
W 989,FREE
W 990,FREE
W 991,FREE
W 992,FREE
W 993,FREE
W 994,FREE
W 995,FREE
W 996,FREE
W 997,FREE
W 998,FREE
W 999,FREE
W 1000,FREE
W 1001,FREE
W 1002,FREE
W 1003,FREE
W 1004,FREE
W 1005,FREE
W 1006,FREE
W 1007,FREE
W 1008,FREE
W 1009,FREE
,
,"""ALL WORD SHOWN BELOW ARE FOR CONAIR BLENDER"""
W 1010,CURRENT WEIGH FOR HOPPER #1
W 1012,CURRENT WEIGH FOR HOPPER #2
W 1014,CURRENT WEIGH FOR HOPPER #3
W 1016,CURRENT WEIGH FOR HOPPER #4
W 1018,CURRENT WEIGH FOR HOPPER #5
DW 1060,HOPPER #1 MIN. SPEED
DW 1062,HOPPER #2 MIN. SPEED
DW 1064,HOPPER #3 MIN. SPEED
DW 1066,HOPPER #4 MIN. SPEED
DW 1068,HOPPER #5 MIN. SPEED
,
W 1100,STATUS INDEX FOR HOPPER #1 AND ALL
W 1101,STATUS INDEX FOR HOPPER #2
W 1102,STATUS INDEX FOR HOPPER #3
W 1103,STATUS INDEX FOR HOPPER #4
W 1104,STATUS INDEX FOR HOPPER #5
W 1121,RECIPE RATIO FOR HOPPER #1
W 1122,RECIPE RATIO FOR HOPPER #2
W 1123,RECIPE RATIO FOR HOPPER #3
W 1124,RECIPE RATIO FOR HOPPER #4
W 1125,RECIPE RATIO FOR HOPPER #5
W 1129,STATUS INDEX
DW 1150,MIN. RECIPE SPEED
DW 1160,MAX. RECIPE SPEED
DW 1170,HOPPER #1 WEIGHT RATIO ACCORDING TO RECIPE
DW 1172,HOPPER #2 WEIGHT RATIO ACCORDING TO RECIPE
DW 1174,HOPPER #3 WEIGHT RATIO ACCORDING TO RECIPE
DW 1176,HOPPER #4 WEIGHT RATIO ACCORDING TO RECIPE
DW 1178,HOPPER #5 WEIGHT RATIO ACCORDING TO RECIPE
W 1199,STATUS INDEX
W 1201,SPEED REF FOR MOTOR #1
W 1202,SPEED REF FOR MOTOR #2
W 1203,SPEED REF FOR MOTOR #3
W 1204,SPEED REF FOR MOTOR #4
W 1205,SPEED REF FOR MOTOR #5
W 1206,"COPY FROM W1201,WHILE [W1100=35]"
W 1207,"COPY FROM W1202,WHILE [W1100=35]"
W 1208,"COPY FROM W1203,WHILE [W1100=35]"
W 1209,"COPY FROM W1204,WHILE [W1100=35]"
W 1210,"COPY FROM W1205,WHILE [W1100=35]"
W 1270,TIME VALUE FROM LOW TO HIGH LEVEL WHILE AUGER SPEED MAX.
W 1272,W1270/2
W 1276,TIME VALUE FROM HIGH TO LOW LEVEL WHILE AUGUR STOP
W 1300,PROPORTIONAL BAND
W 1301,INTEGRAL GAIN
W 1330,STATUS INDEX FOR HOPPER #1
W 1350,WEIGH REFERENCE
W 1351,WEIGH MEASURE
DW 1352,ERROR BETWEEN REF AND MEASURE
DW 1354,P OUTPUT LIMITATION
DW 1356,I OUTPUT LIMITATION
DW 1358,P+I OUTPUT
DW 1360,HOPPER #1 MAX. SPEED
DW 1362,HOPPER #2 MAX. SPEED
DW 1364,HOPPER #3 MAX. SPEED
DW 1366,HOPPER #4 MAX. SPEED
DW 1368,HOPPER #5 MAX. SPEED
W 1400,STATUS REGISTER
,
DW 1412,WEIGHT REF (LBS/HR)                HOPPER #1
DW 1414,WEIGHT REF (LBS/SEC)
DW 1416,WEIGHT REF INCREMENT (LBS/SEC)
DW 1418,WEIGHT WHEN AUGER STOP AT LAST TIMES
W 1420,WEIGHT REF INCREMENT
W 1421,WEIGHT MEASURE INCREMENT
DW 1422,ERROR BETWEEN REFERENCE AND MEASUREMENT
DW 1424,PROPORTIONAL OUTPUT
DW 1426,INTEGRAL OUTPUT
DW 1428,P+I OUTPUT
,
DW 1432,WEIGHT REF (LBS/HR)                HOPPER #2
DW 1434,WEIGHT REF (LBS/SEC)
DW 1436,WEIGHT REF INCREMENT (LBS/SEC)
DW 1438,WEIGHT WHEN AUGER STOP AT LAST TIMES
W 1440,WEIGHT REF INCREMENT
W 1441,WEIGHT MEASURE INCREMENT
DW 1442,ERROR BETWEEN REFERENCE AND MEASUREMENT
DW 1444,PROPORTIONAL OUTPUT
DW 1446,INTEGRAL OUTPUT
